Provider,PotentialFraud,inp_claim_count,inp_total_reimb,inp_mean_reimb,inp_unique_bene,out_claim_count,out_total_reimb,out_mean_reimb,out_unique_bene,total_claims,total_reimb,total_unique_bene,claims_per_patient,inp_to_outp_ratio,avg_claim_cost,inp_2008_11,inp_2008_12,inp_2009_01,inp_2009_02,inp_2009_03,inp_2009_04,inp_2009_05,inp_2009_06,inp_2009_07,inp_2009_08,inp_2009_09,inp_2009_10,inp_2009_11,inp_2009_12,out_2008_12,out_2009_01,out_2009_02,out_2009_03,out_2009_04,out_2009_05,out_2009_06,out_2009_07,out_2009_08,out_2009_09,out_2009_10,out_2009_11,out_2009_12,top_states
PRV51029,No,0.0,0.0,0.0,0.0,93.0,30660.0,329.6774193548387,79.0,93.0,30660.0,79.0,1.1625,0.0,326.17021276595744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,7.0,10.0,8.0,11.0,6.0,7.0,10.0,5.0,9.0,
PRV51030,No,82.0,705600.0,8604.878048780487,71.0,89.0,34160.0,383.82022471910113,78.0,171.0,739760.0,149.0,1.14,0.9111111111111111,4300.930232558139,0.0,0.0,7.0,8.0,5.0,5.0,11.0,9.0,9.0,6.0,5.0,7.0,3.0,7.0,0.0,11.0,6.0,9.0,8.0,6.0,8.0,4.0,8.0,7.0,5.0,13.0,4.0,1
PRV51031,No,28.0,329000.0,11750.0,26.0,157.0,30720.0,195.6687898089172,135.0,185.0,359720.0,161.0,1.1419753086419753,0.17721518987341772,1933.978494623656,0.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,11.0,14.0,18.0,18.0,18.0,12.0,14.0,15.0,10.0,14.0,10.0,3.0,"1, 23"
PRV51032,No,0.0,0.0,0.0,0.0,23.0,5420.0,235.65217391304347,21.0,23.0,5420.0,21.0,1.0454545454545454,0.0,225.83333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,
PRV51035,No,1.0,29000.0,29000.0,1.0,29.0,3560.0,122.75862068965517,24.0,30.0,32560.0,25.0,1.1538461538461537,0.03333333333333333,1050.3225806451612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,44
PRV51036,No,0.0,0.0,0.0,0.0,278.0,74880.0,269.3525179856115,131.0,278.0,74880.0,131.0,2.106060606060606,0.0,268.38709677419354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,26.0,29.0,22.0,31.0,16.0,23.0,28.0,19.0,19.0,19.0,14.0,
PRV51037,Yes,23.0,214000.0,9304.347826086956,21.0,431.0,128230.0,297.51740139211137,202.0,454.0,342230.0,223.0,2.0267857142857144,0.05324074074074074,752.1538461538462,0.0,2.0,3.0,0.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,42.0,35.0,22.0,43.0,41.0,31.0,40.0,40.0,41.0,35.0,33.0,27.0,1
PRV51038,No,30.0,229600.0,7653.333333333333,26.0,111.0,35890.0,323.3333333333333,83.0,141.0,265490.0,109.0,1.2818181818181817,0.26785714285714285,1869.6478873239437,0.0,1.0,2.0,2.0,7.0,2.0,1.0,4.0,0.0,3.0,1.0,3.0,3.0,1.0,0.0,9.0,8.0,10.0,6.0,7.0,9.0,9.0,12.0,9.0,13.0,11.0,8.0,"1, 25"
PRV51040,No,9.0,63000.0,7000.0,8.0,77.0,11470.0,148.96103896103895,62.0,86.0,74470.0,70.0,1.2112676056338028,0.11538461538461539,855.9770114942529,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,8.0,6.0,4.0,10.0,10.0,5.0,5.0,7.0,6.0,7.0,4.0,"1, 10"
PRV51041,No,0.0,0.0,0.0,0.0,34.0,7410.0,217.94117647058823,31.0,34.0,7410.0,31.0,1.0625,0.0,211.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,
PRV51042,No,0.0,0.0,0.0,0.0,142.0,48050.0,338.38028169014086,128.0,142.0,48050.0,128.0,1.1007751937984496,0.0,336.013986013986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,11.0,7.0,10.0,14.0,15.0,12.0,12.0,7.0,15.0,7.0,
PRV51043,No,0.0,0.0,0.0,0.0,23.0,4480.0,194.7826086956522,20.0,23.0,4480.0,20.0,1.0952380952380953,0.0,186.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,3.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,
PRV51044,No,0.0,0.0,0.0,0.0,59.0,21330.0,361.52542372881356,39.0,59.0,21330.0,39.0,1.475,0.0,355.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,5.0,6.0,8.0,4.0,4.0,5.0,6.0,6.0,
PRV51045,No,0.0,0.0,0.0,0.0,31.0,8390.0,270.64516129032256,29.0,31.0,8390.0,29.0,1.0333333333333334,0.0,262.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,5.0,4.0,4.0,2.0,5.0,0.0,1.0,2.0,
PRV51046,No,8.0,101000.0,12625.0,7.0,30.0,8370.0,279.0,19.0,38.0,109370.0,26.0,1.4074074074074074,0.25806451612903225,2804.358974358974,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,2.0,4.0,0.0,2.0,0.0,5.0,3.0,2.0,1
PRV51047,No,0.0,0.0,0.0,0.0,11.0,2530.0,230.0,11.0,11.0,2530.0,11.0,0.9166666666666666,0.0,210.83333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,
PRV51048,No,4.0,19000.0,4750.0,4.0,34.0,8700.0,255.88235294117646,30.0,38.0,27700.0,34.0,1.0857142857142856,0.11428571428571428,710.2564102564103,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,0.0,4.0,1.0,3.0,2.0,5.0,4.0,4.0,1
PRV51049,No,0.0,0.0,0.0,0.0,71.0,21720.0,305.9154929577465,65.0,71.0,21720.0,65.0,1.0757575757575757,0.0,301.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,6.0,2.0,5.0,9.0,8.0,6.0,5.0,8.0,5.0,7.0,
PRV51052,Yes,2.0,14000.0,7000.0,2.0,44.0,16800.0,381.8181818181818,36.0,46.0,30800.0,38.0,1.1794871794871795,0.044444444444444446,655.3191489361702,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,5.0,2.0,4.0,5.0,3.0,3.0,1.0,5.0,3.0,5.0,1
PRV51053,No,1.0,8000.0,8000.0,1.0,0.0,0.0,0.0,0.0,1.0,8000.0,1.0,0.5,1.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
PRV51054,No,0.0,0.0,0.0,0.0,57.0,15130.0,265.43859649122805,40.0,57.0,15130.0,40.0,1.3902439024390243,0.0,260.86206896551727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,6.0,5.0,1.0,3.0,3.0,6.0,5.0,5.0,6.0,5.0,
PRV51055,No,2.0,16700.0,8350.0,2.0,20.0,4940.0,247.0,20.0,22.0,21640.0,22.0,0.9565217391304348,0.09523809523809523,940.8695652173913,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,1
PRV51056,No,2.0,8000.0,4000.0,2.0,20.0,6700.0,335.0,19.0,22.0,14700.0,21.0,1.0,0.09523809523809523,639.1304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1
PRV51057,No,0.0,0.0,0.0,0.0,5.0,6830.0,1366.0,4.0,5.0,6830.0,4.0,1.0,0.0,1138.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
PRV51058,No,5.0,91000.0,18200.0,5.0,78.0,16030.0,205.51282051282053,71.0,83.0,107030.0,76.0,1.077922077922078,0.06329113924050633,1274.1666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,15.0,6.0,7.0,5.0,5.0,2.0,3.0,5.0,8.0,8.0,6.0,1
PRV51059,Yes,25.0,401000.0,16040.0,23.0,71.0,20060.0,282.53521126760563,60.0,96.0,421060.0,83.0,1.1428571428571428,0.3472222222222222,4340.8247422680415,0.0,0.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,8.0,4.0,5.0,3.0,7.0,5.0,7.0,11.0,8.0,5.0,4.0,4.0,1
PRV51060,No,5.0,35000.0,7000.0,5.0,37.0,8710.0,235.40540540540542,37.0,42.0,43710.0,42.0,0.9767441860465116,0.13157894736842105,1016.5116279069767,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,12.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1
PRV51061,No,1.0,3000.0,3000.0,1.0,144.0,51940.0,360.69444444444446,66.0,145.0,54940.0,67.0,2.1323529411764706,0.006896551724137931,376.3013698630137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,12.0,10.0,17.0,9.0,15.0,11.0,8.0,12.0,13.0,14.0,1
PRV51062,No,3.0,45000.0,15000.0,3.0,394.0,108380.0,275.0761421319797,164.0,397.0,153380.0,167.0,2.363095238095238,0.007594936708860759,385.37688442211055,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,37.0,30.0,39.0,27.0,45.0,25.0,39.0,34.0,29.0,33.0,27.0,26.0,1
PRV51063,No,0.0,0.0,0.0,0.0,149.0,51110.0,343.02013422818794,115.0,149.0,51110.0,115.0,1.2844827586206897,0.0,340.73333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,18.0,14.0,10.0,14.0,8.0,13.0,16.0,9.0,13.0,9.0,7.0,
PRV51064,Yes,36.0,280000.0,7777.777777777777,34.0,267.0,80320.0,300.8239700374532,198.0,303.0,360320.0,232.0,1.3004291845493563,0.13432835820895522,1185.2631578947369,0.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,0.0,3.0,4.0,6.0,4.0,2.0,1.0,20.0,25.0,22.0,28.0,26.0,20.0,26.0,21.0,13.0,25.0,24.0,16.0,"1, 25"
PRV51065,No,10.0,75000.0,7500.0,10.0,18.0,1570.0,87.22222222222223,16.0,28.0,76570.0,26.0,1.037037037037037,0.5263157894736842,2640.344827586207,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
PRV51066,No,2.0,19000.0,9500.0,2.0,22.0,5790.0,263.1818181818182,19.0,24.0,24790.0,21.0,1.0909090909090908,0.08695652173913043,991.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1
PRV51067,Yes,12.0,326000.0,27166.666666666668,11.0,46.0,8520.0,185.2173913043478,39.0,58.0,334520.0,50.0,1.1372549019607843,0.2553191489361702,5669.830508474576,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,2.0,6.0,6.0,3.0,5.0,6.0,1.0,6.0,3.0,5.0,3.0,0.0,1
PRV51068,No,9.0,77000.0,8555.555555555555,9.0,252.0,66260.0,262.93650793650795,206.0,261.0,143260.0,215.0,1.2083333333333333,0.03557312252964427,546.7938931297709,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,20.0,25.0,24.0,19.0,21.0,24.0,27.0,21.0,18.0,17.0,18.0,16.0,1
PRV51070,No,10.0,101000.0,10100.0,10.0,89.0,24410.0,274.2696629213483,61.0,99.0,125410.0,71.0,1.375,0.1111111111111111,1254.1,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,9.0,15.0,6.0,4.0,10.0,8.0,7.0,5.0,4.0,6.0,7.0,6.0,"1, 10, 25"
PRV51071,No,0.0,0.0,0.0,0.0,24.0,8550.0,356.25,24.0,24.0,8550.0,24.0,0.96,0.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,
PRV51072,No,12.0,72000.0,6000.0,12.0,200.0,47170.0,235.85,150.0,212.0,119170.0,162.0,1.3006134969325154,0.05970149253731343,559.4835680751173,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,20.0,18.0,17.0,21.0,15.0,17.0,17.0,11.0,19.0,16.0,19.0,10.0,1
PRV51074,No,5.0,31000.0,6200.0,5.0,34.0,10170.0,299.11764705882354,34.0,39.0,41170.0,39.0,0.975,0.14285714285714285,1029.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,6.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,1
PRV51075,No,0.0,0.0,0.0,0.0,17.0,8550.0,502.94117647058823,13.0,17.0,8550.0,13.0,1.2142857142857142,0.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,
PRV51076,No,0.0,0.0,0.0,0.0,29.0,10230.0,352.7586206896552,27.0,29.0,10230.0,27.0,1.0357142857142858,0.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,
PRV51077,Yes,16.0,199000.0,12437.5,13.0,17.0,5350.0,314.70588235294116,17.0,33.0,204350.0,30.0,1.064516129032258,0.8888888888888888,6010.294117647059,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,1.0,1.0,1
PRV51078,No,9.0,76000.0,8444.444444444445,9.0,14.0,2270.0,162.14285714285714,14.0,23.0,78270.0,23.0,0.9583333333333334,0.6,3261.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1
PRV51081,No,6.0,79000.0,13166.666666666666,6.0,194.0,45080.0,232.37113402061857,125.0,200.0,124080.0,131.0,1.5151515151515151,0.03076923076923077,617.3134328358209,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,17.0,14.0,15.0,12.0,22.0,19.0,15.0,20.0,8.0,15.0,15.0,1
PRV51082,No,0.0,0.0,0.0,0.0,34.0,5470.0,160.88235294117646,31.0,34.0,5470.0,31.0,1.0625,0.0,156.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,5.0,3.0,0.0,4.0,0.0,2.0,3.0,1.0,
PRV51083,No,0.0,0.0,0.0,0.0,90.0,18100.0,201.11111111111111,81.0,90.0,18100.0,81.0,1.0975609756097562,0.0,198.9010989010989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,7.0,11.0,7.0,5.0,9.0,9.0,7.0,7.0,7.0,7.0,
PRV51084,Yes,20.0,191000.0,9550.0,19.0,90.0,24580.0,273.1111111111111,67.0,110.0,215580.0,86.0,1.264367816091954,0.21978021978021978,1942.162162162162,0.0,0.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,5.0,13.0,7.0,9.0,9.0,6.0,11.0,7.0,4.0,3.0,"1, 23"
PRV51086,No,31.0,413000.0,13322.58064516129,30.0,108.0,33170.0,307.1296296296296,86.0,139.0,446170.0,116.0,1.188034188034188,0.28440366972477066,3186.9285714285716,0.0,0.0,3.0,4.0,1.0,2.0,0.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,11.0,11.0,14.0,8.0,10.0,8.0,6.0,11.0,10.0,7.0,5.0,7.0,"1, 10, 11"
PRV51089,No,18.0,177000.0,9833.333333333334,18.0,210.0,53900.0,256.6666666666667,179.0,228.0,230900.0,197.0,1.1515151515151516,0.08530805687203792,1008.296943231441,0.0,1.0,2.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,16.0,21.0,14.0,16.0,11.0,18.0,23.0,18.0,14.0,22.0,15.0,22.0,1
PRV51090,No,0.0,0.0,0.0,0.0,7.0,5830.0,832.8571428571429,7.0,7.0,5830.0,7.0,0.875,0.0,728.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,
